StationId,StationName,City,State,Status,Country
AP001,"Secretariat, Amaravati - APPCB",Amaravati,Andhra Pradesh,Active,India
AP002,"Anand Kala Kshetram, Rajamahendravaram - APPCB",Rajamahendravaram,Andhra Pradesh,,India
AP003,"Tirumala, Tirupati - APPCB",Tirupati,Andhra Pradesh,,India
AP004,"PWD Grounds, Vijayawada - APPCB",Vijayawada,Andhra Pradesh,,India
AP005,"GVM Corporation, Visakhapatnam - APPCB",Visakhapatnam,Andhra Pradesh,Active,India
AS001,"Railway Colony, Guwahati - APCB",Guwahati,Assam,Active,India
BR001,"Collectorate, Gaya - BSPCB",Gaya,Bihar,,India
BR002,"SFTI Kusdihra, Gaya - BSPCB",Gaya,Bihar,,India
BR003,"Industrial Area, Hajipur - BSPCB",Hajipur,Bihar,,India
BR004,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",Muzaffarpur,Bihar,,India
BR005,"DRM Office Danapur, Patna - BSPCB",Patna,Bihar,Active,India
BR006,"Govt. High School Shikarpur, Patna - BSPCB",Patna,Bihar,Active,India
BR007,"IGSC Planetarium Complex, Patna - BSPCB",Patna,Bihar,Active,India
BR008,"Muradpur, Patna - BSPCB",Patna,Bihar,Active,India
BR009,"Rajbansi Nagar, Patna - BSPCB",Patna,Bihar,Active,India
BR010,"Samanpura, Patna - BSPCB",Patna,Bihar,Active,India
CH001,"Sector-25, Chandigarh - CPCC",Chandigarh,Chandigarh,Active,India
DL001,"Alipur, Delhi - DPCC",Delhi,Delhi,Active,India
DL002,"Anand Vihar, Delhi - DPCC",Delhi,Delhi,Active,India
DL003,"Ashok Vihar, Delhi - DPCC",Delhi,Delhi,Active,India
DL004,"Aya Nagar, Delhi - IMD",Delhi,Delhi,Active,India
DL005,"Bawana, Delhi - DPCC",Delhi,Delhi,Active,India
DL006,"Burari Crossing, Delhi - IMD",Delhi,Delhi,Inactive,India
DL007,"CRRI Mathura Road, Delhi - IMD",Delhi,Delhi,Active,India
DL008,"DTU, Delhi - CPCB",Delhi,Delhi,Active,India
DL009,"Dr. Karni Singh Shooting Range, Delhi - DPCC",Delhi,Delhi,Active,India
DL010,"Dwarka-Sector 8, Delhi - DPCC",Delhi,Delhi,Active,India
DL011,"East Arjun Nagar, Delhi - CPCB",Delhi,Delhi,Active,India
DL012,"IGI Airport (T3), Delhi - IMD",Delhi,Delhi,Active,India
DL013,"IHBAS, Dilshad Garden, Delhi - CPCB",Delhi,Delhi,Active,India
DL014,"ITO, Delhi - CPCB",Delhi,Delhi,Active,India
DL015,"Jahangirpuri, Delhi - DPCC",Delhi,Delhi,Active,India
DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",Delhi,Delhi,Active,India
DL017,"Lodhi Road, Delhi - IMD",Delhi,Delhi,Active,India
DL018,"Major Dhyan Chand National Stadium, Delhi - DPCC",Delhi,Delhi,Active,India
DL019,"Mandir Marg, Delhi - DPCC",Delhi,Delhi,Active,India
DL020,"Mundka, Delhi - DPCC",Delhi,Delhi,Active,India
DL021,"NSIT Dwarka, Delhi - CPCB",Delhi,Delhi,Active,India
DL022,"Najafgarh, Delhi - DPCC",Delhi,Delhi,Active,India
DL023,"Narela, Delhi - DPCC",Delhi,Delhi,Active,India
DL024,"Nehru Nagar, Delhi - DPCC",Delhi,Delhi,Active,India
DL025,"North Campus, DU, Delhi - IMD",Delhi,Delhi,Active,India
DL026,"Okhla Phase-2, Delhi - DPCC",Delhi,Delhi,Active,India
DL027,"Patparganj, Delhi - DPCC",Delhi,Delhi,Active,India
DL028,"Punjabi Bagh, Delhi - DPCC",Delhi,Delhi,Active,India
DL029,"Pusa, Delhi - DPCC",Delhi,Delhi,Active,India
DL030,"Pusa, Delhi - IMD",Delhi,Delhi,Active,India
DL031,"R K Puram, Delhi - DPCC",Delhi,Delhi,Active,India
DL032,"Rohini, Delhi - DPCC",Delhi,Delhi,Active,India
DL033,"Shadipur, Delhi - CPCB",Delhi,Delhi,Active,India
DL034,"Sirifort, Delhi - CPCB",Delhi,Delhi,Active,India
DL035,"Sonia Vihar, Delhi - DPCC",Delhi,Delhi,Active,India
DL036,"Sri Aurobindo Marg, Delhi - DPCC",Delhi,Delhi,Active,India
DL037,"Vivek Vihar, Delhi - DPCC",Delhi,Delhi,Active,India
DL038,"Wazirpur, Delhi - DPCC",Delhi,Delhi,Active,India
GJ001,"Maninagar, Ahmedabad - GPCB",Ahmedabad,Gujarat,Active,India
GJ002,"GIDC, Ankleshwar - GPCB",Ankleshwar,Gujarat,,India
GJ003,"Sector-10, Gandhinagar - GPCB",Gandhinagar,Gujarat,,India
GJ004,"GIDC, Nandesari - Nandesari Ind. Association",Nandesari,Gujarat,,India
GJ005,"Phase-1 GIDC, Vapi - GPCB",Vapi,Gujarat,,India
GJ006,"Phase-4 GIDC, Vatva - GPCB",Vatva,Gujarat,,India
HR001,"Patti Mehar, Ambala - HSPCB",Ambala,Haryana,Active,India
HR002,"Arya Nagar, Bahadurgarh - HSPCB",Bahadurgarh,Haryana,Active,India
HR003,"Nathu Colony, Ballabgarh - HSPCB",Ballabgarh,Haryana,Active,India
HR004,"H.B. Colony, Bhiwani - HSPCB",Bhiwani,Haryana,Active,India
HR005,"Municipal Corporation Office, Dharuhera - HSPCB",Dharuhera,Haryana,Active,India
HR006,"New Industrial Town, Faridabad - HSPCB",Faridabad,Haryana,Active,India
HR007,"Sector 11, Faridabad - HSPCB",Faridabad,Haryana,Active,India
HR008,"Sector 30, Faridabad - HSPCB",Faridabad,Haryana,Active,India
HR009,"Sector- 16A, Faridabad - HSPCB",Faridabad,Haryana,Active,India
HR010,"Huda Sector, Fatehabad - HSPCB",Fatehabad,Haryana,Active,India
HR011,"NISE Gwal Pahari, Gurugram - IMD",Gurugram,Haryana,Active,India
HR012,"Sector-51, Gurugram - HSPCB",Gurugram,Haryana,Active,India
HR013,"Teri Gram, Gurugram - HSPCB",Gurugram,Haryana,Active,India
HR014,"Vikas Sadan, Gurugram - HSPCB",Gurugram,Haryana,Active,India
HR015,"Urban Estate-II, Hisar - HSPCB",Hisar,Haryana,Active,India
HR016,"Police Lines, Jind - HSPCB",Jind,Haryana,Active,India
HR017,"Rishi Nagar, Kaithal - HSPCB",Kaithal,Haryana,Active,India
HR018,"Sector-12, Karnal - HSPCB",Karnal,Haryana,Active,India
HR019,"Sector-7, Kurukshetra - HSPCB",Kurukshetra,Haryana,Active,India
HR020,"General Hospital, Mandikhera - HSPCB",Mandikhera,Haryana,Active,India
HR021,"Sector-2 IMT, Manesar - HSPCB",Manesar,Haryana,Active,India
HR022,"Shastri Nagar, Narnaul - HSPCB",Narnaul,Haryana,Active,India
HR023,"Shyam Nagar, Palwal - HSPCB",Palwal,Haryana,Active,India
HR024,"Sector-6, Panchkula - HSPCB",Panchkula,Haryana,Active,India
HR025,"Sector-18, Panipat - HSPCB",Panipat,Haryana,Active,India
HR026,"MD University, Rohtak - HSPCB",Rohtak,Haryana,Active,India
HR027,"F-Block, Sirsa - HSPCB",Sirsa,Haryana,Active,India
HR028,"Murthal, Sonipat - HSPCB",Sonipat,Haryana,Active,India
HR029,"Gobind Pura, Yamuna Nagar - HSPCB",Yamuna Nagar,Haryana,Active,India
JH001,"Tata Stadium, Jorapokhar - JSPCB",Jorapokhar,Jharkhand,Active,India
KA001,"Vidayagiri, Bagalkot - KSPCB",Bagalkot,Karnataka,,India
KA002,"BTM Layout, Bengaluru - CPCB",Bengaluru,Karnataka,Active,India
KA003,"BWSSB Kadabesanahalli, Bengaluru - CPCB",Bengaluru,Karnataka,Active,India
KA004,"Bapuji Nagar, Bengaluru - KSPCB",Bengaluru,Karnataka,Active,India
KA005,"City Railway Station, Bengaluru - KSPCB",Bengaluru,Karnataka,Active,India
KA006,"Hebbal, Bengaluru - KSPCB",Bengaluru,Karnataka,Active,India
KA007,"Hombegowda Nagar, Bengaluru - KSPCB",Bengaluru,Karnataka,Active,India
KA008,"Jayanagar 5th Block, Bengaluru - KSPCB",Bengaluru,Karnataka,Active,India
KA009,"Peenya, Bengaluru - CPCB",Bengaluru,Karnataka,Active,India
KA010,"Sanegurava Halli, Bengaluru - KSPCB",Bengaluru,Karnataka,Active,India
KA011,"Silk Board, Bengaluru - KSPCB",Bengaluru,Karnataka,Active,India
KA012,"Urban, Chamarajanagar - KSPCB",Chamarajanagar,Karnataka,,India
KA013,"Chikkaballapur Rural, Chikkaballapur - KSPCB",Chikkaballapur,Karnataka,,India
KA014,"Kalyana Nagara, Chikkamagaluru - KSPCB",Chikkamagaluru,Karnataka,,India
KA015,"Deshpande Nagar, Hubballi - KSPCB",Hubballi,Karnataka,,India
KA016,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB",Kalaburagi,Karnataka,,India
KA017,"Hebbal 1st Stage, Mysuru - KSPCB",Mysuru,Karnataka,,India
KA018,"Vijay Nagar, Ramanagara - KSPCB",Ramanagara,Karnataka,,India
KA019,"Ibrahimpur, Vijayapura - KSPCB",Vijayapura,Karnataka,,India
KA020,"Collector Office, Yadgir - KSPCB",Yadgir,Karnataka,,India
KL001,"Udyogamandal, Eloor - Kerala PCB",Eloor,Kerala,,India
KL002,"Kacheripady, Ernakulam - Kerala PCB",Ernakulam,Kerala,,India
KL003,"Thavakkara, Kannur - Kerala PCB",Kannur,Kerala,,India
KL004,"Vyttila, Kochi - Kerala PCB",Kochi,Kerala,,India
